id,dt,accel_x,accel_y,accel_z,accel_angle_x,accel_angle_y,accel_angle_z,angle_x,angle_y,angle_z,phase
3806,0.032,-1048.0,-16352.0,2216.0,-81.47,3.63,0.0,-80.95,3.17,28.16,1
3807,0.032,-904.0,-16192.0,2500.0,-80.68,3.16,0.0,-80.44,3.1,28.17,1
3808,0.029999997,-892.0,-16300.0,2572.0,-80.52,3.09,0.0,-79.96,3.03,28.15,1
3809,0.032,-868.0,-16188.0,2612.0,-80.35,3.03,0.0,-79.14,2.81,28.12,1
3810,0.032,-1104.0,-16076.0,3084.0,-78.48,3.86,0.0,-78.27,2.64,28.08,1
3811,0.032,-1048.0,-16236.0,2972.0,-79.02,3.63,0.0,-77.49,2.52,28.05,1
3812,0.031,-908.0,-16124.0,3372.0,-77.78,3.16,0.0,-76.83,2.47,28.03,1
3813,0.031,-924.0,-16216.0,3496.0,-77.43,3.19,0.0,-76.05,2.43,28.03,1
3814,0.032,-960.0,-16132.0,4060.0,-75.5,3.3,0.0,-75.43,2.42,28.05,1
3815,0.032,-992.0,-16008.0,4116.0,-75.19,3.43,0.0,-74.64,2.42,28.04,1
3816,0.031,-988.0,-16092.0,4260.0,-74.8,3.4,0.0,-73.98,2.4,28.03,1
3817,0.031,-940.0,-16236.0,4668.0,-73.65,3.18,0.0,-73.15,2.42,28.03,1
3818,0.032,-916.0,-15808.0,5232.0,-71.43,3.15,0.0,-72.02,2.32,28.02,1
3819,0.032,-1040.0,-16088.0,4776.0,-73.1,3.55,0.0,-71.37,2.32,28.05,1
3820,0.031,-856.0,-15856.0,5276.0,-71.37,2.93,0.0,-70.69,2.27,28.06,1
3821,0.031,-924.0,-16340.0,6500.0,-68.11,3.01,0.0,-69.69,2.24,28.02,1
3822,0.032,-904.0,-15560.0,5672.0,-69.74,3.12,0.0,-68.97,2.23,27.99,1
3823,0.029999997,-1048.0,-15928.0,6196.0,-68.47,3.51,0.0,-67.94,2.22,27.98,1
3824,0.032,-100.0,-14216.0,6044.0,-66.96,0.37,0.0,-66.41,1.9,28.04,1
3825,0.032,-932.0,-15408.0,7192.0,-64.79,3.14,0.0,-65.5,1.89,28.04,1
3826,0.031,-924.0,-15584.0,7108.0,-65.3,3.09,0.0,-64.59,1.86,28.02,1
3827,0.029999997,-944.0,-15496.0,7632.0,-63.61,3.13,0.0,-63.46,1.82,27.99,1
3828,0.032,-948.0,-15172.0,7420.0,-63.76,3.21,0.0,-62.55,1.82,28.02,1
3829,0.031,-956.0,-15124.0,8060.0,-61.78,3.19,0.0,-61.61,1.77,28.04,1
3830,0.032,-928.0,-14592.0,8532.0,-59.54,3.14,0.0,-59.54,1.71,28.06,1
3831,0.029999997,-856.0,-14552.0,8664.0,-59.11,2.89,0.0,-58.01,1.63,28.06,1
